court_ID,match_ID,start_dt,end_dt
3894481424713277770,-1947430082325888147,2017-01-16 04:00:00,2017-01-16 06:00:00
463790542611002417,-1947431082338888250,2017-01-15 04:00:00,2017-01-15 07:00:00
463790542611002421,-1947431082338888249,2017-01-15 12:00:00,2017-01-15 14:00:00
463790542611002424,-1947431082338888248,2017-01-15 12:00:00,2017-01-15 14:00:00
463790542611002418,-1947431082338888247,2017-01-15 16:00:00,2017-01-15 19:00:00
463790542611002420,-1947431082338888246,2017-01-15 12:00:00,2017-01-15 15:00:00
463790542611002424,-1947431082338888245,2017-01-15 12:00:00,2017-01-15 16:00:00
3894481424713277770,-1947431082338888244,2017-01-15 04:00:00,2017-01-15 07:00:00
463790542611002423,-1947431082338888243,2017-01-15 08:00:00,2017-01-15 10:00:00
463790542611002425,-1947431082338888242,2017-01-15 04:00:00,2017-01-15 05:00:00
3894481424713277770,-1947431082338888241,2017-01-15 04:00:00,2017-01-15 07:00:00
463790542611002424,-1947431082339888251,2017-01-15 08:00:00,2017-01-15 10:00:00
463790542611002425,-1947431082339888252,2017-01-15 04:00:00,2017-01-15 06:00:00
463790542611002421,-1947431082339888245,2017-01-15 08:00:00,2017-01-15 11:00:00
463790542611002418,-1947431082339888246,2017-01-15 12:00:00,2017-01-15 14:00:00
463790542611002418,-1947431082339888248,2017-01-15 08:00:00,2017-01-15 10:00:00
463790542611002420,-1947431082339888241,2017-01-15 08:00:00,2017-01-15 10:00:00
3894481424713277770,-1947431082339888242,2017-01-15 08:00:00,2017-01-15 10:00:00
463790542611002422,-1947431082339888244,2017-01-15 08:00:00,2017-01-15 09:00:00
463790542611002418,-1947431082324888152,2017-01-15 04:00:00,2017-01-15 07:00:00
463790542611002419,-1947431082324888151,2017-01-14 08:00:00,2017-01-14 09:00:00
463790542611002420,-1947431082324888154,2017-01-14 04:00:00,2017-01-14 06:00:00
463790542611002419,-1947431082324888153,2017-01-14 08:00:00,2017-01-14 09:00:00
463790542611002421,-1947431082324888156,2017-01-14 04:00:00,2017-01-14 07:00:00
463790542611002420,-1947431082324888158,2017-01-14 04:00:00,2017-01-14 07:00:00
3894481424713277770,-1947431082324888157,2017-01-14 12:00:00,2017-01-14 16:00:00
3894481424713277770,-1947431082324888160,2017-01-14 16:00:00,2017-01-14 19:00:00
3092338747054238599,9046704570422527360,2017-01-16 08:00:00,2017-01-16 09:00:00
3092338747054238594,9046705570435527471,2017-01-15 16:00:00,2017-01-15 18:00:00
3092338747054238599,9046705570435527470,2017-01-15 04:00:00,2017-01-15 07:00:00
