player_ID,match_ID,winner,forfeited,score
105683,1162889746492108400,1.0,False,6-4 6-4
103819,1162890746505108383,1.0,False,6-1 6-4
105683,1162890746505108382,1.0,False,7-6(5) 7-6(5)
103819,1162890746505108369,1.0,False,6-4 6-7(4) 6-4
106233,1162890746505108368,1.0,False,2-6 7-6(4) 6-4
105683,1162890746505108371,1.0,False,6-4 6-4
106071,1162890746505108370,1.0,False,6-3 1-6 6-3
103819,1162890746505108373,1.0,False,6-2 6-1
105777,1162890746505108372,1.0,False,5-7 7-6(6) 6-2
105227,1162890746505108375,1.0,False,7-5 7-6(3)
106233,1162890746505108374,1.0,False,6-3 6-2
106298,1162890746506108376,1.0,False,7-6(5) 4-6 6-3
105683,1162890746506108377,1.0,False,6-7(2) 6-1 6-4
106071,1162890746506108374,1.0,False,7-6(6) 4-6 7-6(4)
105453,1162890746506108375,1.0,False,6-3 6-4
104735,1162890746506108373,1.0,False,6-2 6-4
104678,1162890746506108370,1.0,False,7-6(3) 6-1
105777,1162890746506108371,1.0,False,6-3 7-6(10)
111202,1162890746506108369,1.0,False,7-6(8) 6-4
106045,1162890746491108405,1.0,False,4-6 6-3 6-2
106233,1162890746491108404,1.0,False,3-6 6-4 6-3
105676,1162890746491108411,1.0,False,6-4 6-4
106298,1162890746491108410,1.0,False,4-6 6-3 7-5
104471,1162890746491108409,1.0,False,6-3 6-2
106071,1162890746491108415,1.0,False,6-4 6-3
103285,1162890746491108414,1.0,False,6-0 6-3
105062,1162890746491108413,1.0,False,6-2 7-5
104527,2680331193279018033,1.0,False,6-3 7-5
104527,2680330193266017946,1.0,False,6-3 6-4
106432,2680330193266017947,1.0,False,7-6(5) 6-7(5) 6-3
104527,2680330193266017940,1.0,False,6-4 6-4
105332,2680330193266017941,1.0,False,6-4 7-5
106432,2680330193266017942,1.0,False,3-6 6-4 7-6(1)
105379,2680330193266017943,1.0,False,6-7(5) 6-4 6-3
104527,2680330193266017936,1.0,False,6-3 6-2
104198,2680330193266017937,1.0,False,7-6(5) 6-1
105332,2680330193266017938,1.0,False,7-5 7-5
105341,2680330193266017939,1.0,False,6-4 7-5
106432,2680330193265017945,1.0,False,6-2 7-5
105138,2680330193265017944,1.0,False,6-4 6-1
105379,2680330193265017943,1.0,False,5-7 6-3 6-4
