court_ID,court_name,surface,spectator_capacity,indoor,hawkEye,complex_ID
7745378381681694273,Brisbane10,Hard,26,0,False,-3478502756701718424
-4921476575337232138,Brisbane3,Hard,72,0,True,-3478502756701718424
-4921476575337232141,Brisbane6,Hard,24,1,False,-3478502756701718424
-4921476575337232137,Brisbane2,Hard,77,0,True,-3478502756701718424
-4921476575337232143,Brisbane4,Hard,20,0,False,-3478502756701718424
-4921476575337232140,Brisbane1,Hard,40,0,True,-3478502756701718424
-4921476575337232131,Brisbane8,Hard,91,1,False,-3478502756701718424
-4921476575337232132,Brisbane9,Hard,80,1,False,-3478502756701718424
-4921476575337232144,Brisbane5,Hard,96,1,False,-3478502756701718424
-4921476575337232142,Brisbane7,Hard,20,1,False,-3478502756701718424
9208958629934585822,Chennai10,Hard,45,1,False,-9208926864897365981
-6483079546507952451,Chennai1,Hard,49,0,True,-9208926864897365981
-6483079546507952460,Chennai8,Hard,21,0,False,-9208926864897365981
-6483079546507952453,Chennai7,Hard,49,0,False,-9208926864897365981
-6483079546507952459,Chennai9,Hard,12,0,False,-9208926864897365981
-6483079546507952456,Chennai4,Hard,40,0,False,-9208926864897365981
-6483079546507952450,Chennai2,Hard,91,1,True,-9208926864897365981
-6483079546507952455,Chennai5,Hard,49,0,False,-9208926864897365981
-6483079546507952454,Chennai6,Hard,91,1,False,-9208926864897365981
-6483079546507952449,Chennai3,Hard,25,0,True,-9208926864897365981
7963664527309599341,Doha9,Hard,39,1,False,5809158768629327846
7963664527309599328,Doha4,Hard,74,1,False,5809158768629327846
7963664527309599334,Doha2,Hard,71,1,True,5809158768629327846
7963664527309599335,Doha3,Hard,33,1,True,5809158768629327846
7640753883324551478,Doha10,Hard,22,0,False,5809158768629327846
7963664527309599340,Doha8,Hard,18,1,False,5809158768629327846
7963664527309599331,Doha7,Hard,11,1,False,5809158768629327846
7963664527309599329,Doha5,Hard,50,1,False,5809158768629327846
7963664527309599330,Doha6,Hard,31,0,False,5809158768629327846
-3363037321909345162,Auckland10,Hard,90,1,False,4765028300561534599
6963658527300599335,Auckland3,Hard,12,0,True,4765028300561534599
6963658527300599340,Auckland8,Hard,86,0,False,4765028300561534599
6963658527300599333,Auckland1,Hard,96,0,True,4765028300561534599
6963658527300599328,Auckland4,Hard,31,1,False,4765028300561534599
6963658527300599331,Auckland7,Hard,61,1,False,4765028300561534599
6963658527300599341,Auckland9,Hard,47,0,False,4765028300561534599
6963658527300599334,Auckland2,Hard,99,0,True,4765028300561534599
6963658527300599329,Auckland5,Hard,33,1,False,4765028300561534599
-4921478575318232092,Sydney4,Hard,77,1,False,-227977386794040170
-4921478575318232094,Sydney2,Hard,95,1,True,-227977386794040170
-4921478575318232093,Sydney3,Hard,11,1,True,-227977386794040170
-4921478575318232095,Sydney1,Hard,45,0,True,-227977386794040170
-4921478575318232091,Sydney5,Hard,31,0,False,-227977386794040170
-4921478575318232087,Sydney9,Hard,88,1,False,-227977386794040170
-4921478575318232088,Sydney8,Hard,30,1,False,-227977386794040170
-4921478575318232090,Sydney6,Hard,23,0,False,-227977386794040170
5352594078752028036,Australian Open2,Hard,75,1,True,9052791127666662055
5352594078752028046,Australian Open8,Hard,52,1,False,9052791127666662055
5352594078752028033,Australian Open7,Hard,81,0,False,9052791127666662055
5352594078752028032,Australian Open6,Hard,34,1,False,9052791127666662055
5352594078752028034,Australian Open4,Hard,23,0,False,9052791127666662055
5352594078752028039,Australian Open1,Hard,75,0,True,9052791127666662055
-7804357741452124144,Australian Open10,Hard,34,1,False,9052791127666662055
5352594078752028047,Australian Open9,Hard,44,1,False,9052791127666662055
5352594078752028037,Australian Open3,Hard,58,0,True,9052791127666662055
5352594078752028035,Australian Open5,Hard,12,0,False,9052791127666662055
6963663527432599630,Montpellier9,Hard,47,0,False,7602908343776058342
6963663527432599617,Montpellier6,Hard,44,0,False,7602908343776058342
6963663527432599616,Montpellier7,Hard,24,0,False,7602908343776058342
6963663527432599620,Montpellier3,Hard,61,0,True,7602908343776058342
